"Group"	"Fumarate"
"WT-Sal"	1.38959511159163
"WT-Sal"	1.12983879270899
"WT-Sal"	0.635986581478589
"WT-Sal"	0.990098936151476
"WT-Sal"	1.18612570163108
"WT-Sal"	1.02872219067547
"WT-Sal"	1.39437272227254
"WT-Sal"	1.54552259633032
"WT-ADR"	0.794448573716486
"WT-ADR"	0.685677143647362
"WT-ADR"	1.15855966071794
"WT-ADR"	1.12430705327234
"WT-ADR"	1
"WT-ADR"	1.38265180852718
"WT-ADR"	0.730960093689342
"WT-ADR"	0.802857600121852
"WT-ADR"	0.948491745969226
"KD-Sal"	0.89718599914333
"KD-Sal"	0.742899665093877
"KD-Sal"	1.09879114545774
"KD-Sal"	0.858780706138238
"KD-Sal"	0.377487143855507
"KD-Sal"	0.981053637538278
"KD-Sal"	0.689348726665465
"KD-Sal"	0.67746804872787
"KD-ADR"	1.10793007493741
"KD-ADR"	1.18888353092927
"KD-ADR"	1.12852775173633
"KD-ADR"	1.11755087271277
"KD-ADR"	1.31578475092206
"KD-ADR"	1.3417400624758
"KD-ADR"	0.953077778847513
"KD-ADR"	0.685910420252224
