state	stringency	mortality
Alabama	42.9524043715849	96.0734863649093
Alaska	52.4588524590164	26.997876985128
Arizona	48.2584699453553	124.155736794872
Arkansas	49.9929234972677	122.064443119165
California	55.907131147541	65.6706296587988
Colorado	52.3092076502734	84.5036660977666
Connecticut	57.7100819672131	166.253275147922
Delaware	55.505218579235	93.5402667614865
District of Columbia	59.6647267759565	113.988209616486
Florida	50.3094808743169	100.621282561991
Georgia	52.1587431693989	98.843268631508
Hawaii	61.7082240437159	19.6526969890831
Idaho	49.0957377049181	78.1901641340956
Illinois	53.0091530054645	140.323814822203
Indiana	45.0601639344262	121.77386932896
Iowa	43.7460655737706	121.960813937197
Kansas	49.8798907103822	93.2985690361757
Kentucky	57.5340163934423	65.6038080391741
Louisiana	53.2620765027323	160.764075927533
Maine	62.7383606557379	25.4705257571609
Maryland	55.0309016393442	95.4312163521996
Massachusetts	53.5118579234977	176.716168910671
Michigan	50.4490163934427	129.101644076194
Minnesota	52.6246994535519	94.3136013110677
Mississippi	48.722131147541	161.653123532095
Missouri	44.2421857923496	95.6471683677738
Montana	49.2615573770492	88.726970877816
Nebraska	48.9700546448088	86.1583764295153
Nevada	49.2378142076503	101.010946932533
New Hampshire	47.2983879781421	55.098658540038
New Jersey	52.8112021857924	204.995287971981
New Mexico	64.6550819672131	117.070802570174
New York	61.9946994535515	185.914247183429
North Carolina	54.5545628415298	65.2432882080827
North Dakota	40.0033060109291	166.732127317115
Ohio	54.1145081967215	75.9527055841934
Oklahoma	41.5734972677596	62.8638062835014
Oregon	52.4998087431694	35.0462657908798
Pennsylvania	52.7618032786885	123.205180462519
Rhode Island	58.4192896174863	161.931292652766
South Carolina	48.6125409836063	103.469328943962
South Dakota	39.734863387978	167.819485782148
Tennessee	49.8696994535518	99.0617638376811
Texas	48.1663114754098	96.6015171121585
Utah	45.3934426229508	38.8187366732526
Vermont	56.8295628415299	21.148322829148
Virginia	49.8021857923495	58.298816888537
Washington	54.0745081967215	45.721888663113
West Virginia	49.8568579234974	74.5937483971822
Wisconsin	48.6682240437159	88.9930600683643
Wyoming	52.147431693989	75.9294861237997
